student_id,gender,age,study_hours_per_week,attendance_rate,parent_education,internet_access,extracurricular,previous_score,final_score,passed
STU0424,Male,19,7,64.7,PhD,Yes,No,53,46,No
STU0425,Female,15,9,67.8,Master,No,No,77,42,No
STU0426,Female,18,29,55.9,High School,Yes,No,54,72,Yes
STU0427,Male,18,18,64.9,High School,Yes,Yes,55,52,Yes
STU0428,Female,19,30,95.3,PhD,Yes,No,53,93,Yes
STU0429,Male,18,12,81.6,Bachelor,No,Yes,30,47,No
STU0430,Female,16,26,88.7,None,Yes,No,41,62,Yes
STU0431,Female,18,14,71.5,PhD,No,Yes,34,51,Yes
STU0432,Male,17,2,94.6,None,Yes,Yes,30,42,No
STU0433,Male,16,24,93.8,Master,Yes,Yes,79,80,Yes
STU0434,Female,16,4,91.2,Master,No,No,73,45,No
STU0435,Male,17,30,74.5,Bachelor,Yes,No,32,65,Yes
STU0436,Male,16,8,86.7,None,Yes,Yes,76,60,Yes
STU0437,Male,18,30,82.0,None,Yes,Yes,43,83,Yes
STU0438,Male,15,24,55.8,PhD,No,Yes,62,65,Yes
STU0439,Male,16,24,84.3,High School,No,No,42,75,Yes
STU0440,Female,19,21,85.0,PhD,Yes,Yes,66,58,Yes
STU0441,Male,18,8,80.5,Master,Yes,No,82,46,No
STU0442,Male,15,19,74.8,Bachelor,No,No,60,47,No
STU0443,Male,15,5,91.8,PhD,Yes,Yes,95,41,No
STU0444,Male,17,22,61.6,Master,No,No,36,46,No
STU0445,Male,15,29,64.5,Master,No,Yes,42,80,Yes
STU0446,Male,15,29,56.9,Bachelor,No,No,86,81,Yes
STU0447,Female,15,13,90.7,Bachelor,Yes,No,81,61,Yes
STU0448,Female,18,24,92.5,PhD,Yes,Yes,46,79,Yes
STU0449,Male,16,5,70.8,None,No,No,53,43,No
STU0450,Female,17,21,51.4,Bachelor,No,No,44,53,Yes
STU0451,Female,15,4,63.1,Master,Yes,Yes,73,40,No
STU0452,Male,18,23,86.3,PhD,No,No,49,72,Yes
STU0453,Male,15,22,96.7,None,No,No,51,59,Yes
STU0454,Female,17,9,66.5,Master,Yes,Yes,78,46,No
STU0455,Male,15,16,72.2,None,No,Yes,93,63,Yes
STU0456,Female,15,17,87.3,High School,Yes,No,82,54,Yes
STU0457,Male,15,27,80.2,None,No,Yes,88,77,Yes
STU0458,Female,15,28,61.1,PhD,No,No,76,82,Yes
STU0459,Female,15,5,88.0,Bachelor,Yes,No,75,53,Yes
STU0460,Female,19,18,68.7,High School,Yes,Yes,93,55,Yes
STU0461,Female,15,10,80.5,Bachelor,Yes,No,57,49,No
STU0462,Male,17,5,87.9,High School,Yes,No,88,57,Yes
STU0463,Male,18,2,76.5,High School,No,No,95,53,Yes
STU0464,Male,19,7,86.5,Bachelor,Yes,No,71,51,Yes
STU0465,Female,18,21,95.8,Bachelor,No,No,73,68,Yes
STU0466,Female,16,6,70.6,None,No,No,57,32,No
STU0467,Male,19,24,64.5,Master,Yes,Yes,94,76,Yes
STU0468,Female,15,26,67.6,PhD,No,No,84,86,Yes
STU0469,Male,19,5,51.3,Bachelor,Yes,Yes,55,26,No
STU0470,Male,17,23,62.5,High School,No,Yes,34,56,Yes
STU0471,Female,15,21,93.4,None,Yes,No,60,72,Yes
STU0472,Female,15,14,69.4,Master,Yes,Yes,62,45,No
STU0473,Female,16,22,85.2,Master,Yes,Yes,67,70,Yes
STU0474,Male,15,7,98.1,None,Yes,No,35,44,No
STU0475,Female,19,10,56.5,None,No,Yes,72,45,No
STU0476,Male,15,6,96.4,None,Yes,No,92,66,Yes
STU0477,Female,15,27,85.4,None,Yes,Yes,38,83,Yes
STU0478,Male,18,19,76.9,High School,No,Yes,57,68,Yes
STU0479,Female,17,13,64.7,None,No,Yes,44,53,Yes
STU0480,Female,18,9,95.2,None,Yes,Yes,71,53,Yes
STU0481,Male,18,10,77.0,Master,Yes,No,95,67,Yes
STU0482,Female,18,3,64.8,Bachelor,No,Yes,42,22,No
STU0483,Male,15,8,83.5,Bachelor,No,Yes,56,50,Yes
STU0484,Female,15,25,84.3,High School,No,No,34,56,Yes
STU0485,Male,15,7,89.7,None,Yes,Yes,63,48,No
STU0486,Female,18,22,70.2,Master,Yes,No,45,65,Yes
STU0487,Male,19,4,87.8,None,Yes,Yes,75,48,No
STU0488,Male,17,27,84.3,None,Yes,No,86,79,Yes
STU0489,Female,15,17,57.8,Bachelor,Yes,No,67,61,Yes
STU0490,Male,17,23,94.3,Master,Yes,Yes,45,57,Yes
STU0491,Male,19,21,69.7,None,Yes,No,56,71,Yes
STU0492,Female,16,15,95.3,None,Yes,Yes,53,53,Yes
STU0493,Female,16,5,59.1,None,Yes,No,39,27,No
STU0494,Male,17,5,59.9,None,No,No,75,29,No
STU0495,Male,15,11,81.0,Bachelor,No,No,87,53,Yes
STU0496,Female,19,6,78.3,Master,No,No,51,27,No
STU0497,Female,16,27,61.1,PhD,No,No,47,74,Yes
STU0498,Female,18,16,72.3,Master,No,Yes,52,61,Yes
STU0499,Male,17,29,91.3,None,Yes,No,39,86,Yes
STU0500,Male,15,29,75.4,High School,No,Yes,34,74,Yes
